	

		"npc_dota_hero_ember_spirit"			"Emiya"
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_Description"	"<font color='#58ACFA'>CHANNEL</font>: Emiya takes aim on a target enemy. At the end of channeling, he fires a powerful arrow that <font color='#FF3399'>stuns</font> target and deals damage to target and nearby enemies."
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_Lore"			"I am the bone of my sword."
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_cast_delay"	"CHANNEL DELAY:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_range"			"CAST RANGE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_total_damage"	"TARGET DAMAGE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_splash_damage"	"SPLASH DAMAGE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_radius"		"SPLASH AOE:"
		"DOTA_Tooltip_ability_archer_broken_phantasm_upgrade_stun_duration"	"STUN DURATION:"

		"DOTA_Tooltip_Ability_archer_crane_wing"				"<font color='#58ACFA'>Crane Wings</font>"
		"DOTA_Tooltip_ability_archer_crane_wing_Description"	"Emiya leaps to target location, slashing all enemies in area for a large amount of magical damage. \n While leaping, Emiya is <font color='#FFFF28'>invulnerable</font> and <font color='#FFFF28'>untargettable</font>.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Overedge</font>"
		"DOTA_Tooltip_ability_archer_crane_wing_Lore"			"The two of us cannot hold heavens together."
		"DOTA_Tooltip_ability_archer_crane_wing_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_archer_crane_wing_radius"			"RADIUS:"

		"DOTA_Tooltip_Ability_archer_crane_wing_upgrade"				"<font color='#9FFFCC'>Crane Wings</font>"
		"DOTA_Tooltip_ability_archer_crane_wing_upgrade_Description"	"Emiya leaps to target location, slashing all enemies in area for a large amount of magical damage. \n If Emiya has <font color='#FFFF28'>Kanshou Bakuya</font>'s stacks, throwing bonus blades depended on Kanshou Bakuya's stack dealing %kb_damage%%% damage of <font color='#58ACFA'>Kanshou Bakuya</font> and <font color='#FF3399'>ministuns</font> to random enemy in area. \n While leaping, Emiya is <font color='#FFFF28'>invulnerable</font> and <font color='#FFFF28'>untargettable</font>."
		"DOTA_Tooltip_ability_archer_crane_wing_upgrade_Lore"			"The two of us cannot hold heavens together."
		"DOTA_Tooltip_ability_archer_crane_wing_upgrade_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_archer_crane_wing_upgrade_radius"			"RADIUS:"

		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_chant"					"<font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_Description"		"Emiya gains <font color='#FFFF28'>UBW - Chant</font>'s stack and reducing the remaining cooldown abilities (<font color='#58ACFA'>Kanshou Bakuya, Broken Phantasm, Crane Wings</font>). \n<font color='#FFFF28'>UBW - Chant</font>: Increase Emiya's movespeed. \n When <font color='#FFFF28'>UBW - Chant</font>'s stacks reach 7, all nearby units <font color='#FF3399'>chrono</font> for duration. After delay, Emiya bring all units into his inner world. \n Emiya gains a set of new abilities. \n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font>"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_Lore"				"An aria using a poem of the caster's life, used to activate high-thaumaturgy."
		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_chant_Note0"				"Skills cooldowns cannot be reduced below 1 second. Skills off cooldowns will undergo a 1 second cooldown period."
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_cooldown_set"		"COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_duration"			"CHANT DURATION:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_movespeed_bonus"	"MOVEMENT SPEED PER CHANT:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_form_delay"		"UBW DELAY:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_chrono_range"	"CHRONO RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_radius"			"UBW RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_ubw_duration"	"UBW DURATION:"

		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_chant_upgrade"					"<font color='#9FFFCC'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_Description"		"Emiya gains <font color='#FFFF28'>UBW - Chant</font>'s stack and reducing the remaining cooldown abilities (<font color='#58ACFA'>Kanshou Bakuya, Broken Phantasm, Crane Wings</font>). \n<font color='#FFFF28'>UBW - Chant</font>: Increase Emiya's movespeed. \n When <font color='#FFFF28'>UBW - Chant</font>'s stacks reach 7, all nearby units <font color='#FF3399'>chrono</font> for duration. After delay, Emiya bring all units into his inner world. \n Emiya gains a set of new abilities."
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_Lore"				"An aria using a poem of the caster's life, used to activate high-thaumaturgy."
		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_chant_upgrade_Note0"				"Skills cooldowns cannot be reduced below 1 second. Skills off cooldowns will undergo a 1 second cooldown period."
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_cooldown_set"		"COOLDOWN REDUCTION:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_duration"			"CHANT DURATION:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_movespeed_bonus"	"MOVEMENT SPEED PER CHANT:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_form_delay"		"UBW DELAY:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_chrono_range"	"CHRONO RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_radius"			"UBW RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chant_upgrade_ubw_duration"	"UBW DURATION:"

		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks"					"<font color='#58ACFA'>Unlimited Blade Works (Ready)</font>"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_Description"		"Emiya bring all nearby units into his inner world. Emiya gains a set of new abilities. \n<font color='#58ACFA'>Sword Barrage - Retreat:</font> Emiya immediately retreats backward and strikes area in a line with several swords, each dealing damage.\n<font color='#58ACFA'>Sword Barrage - Confine:</font> Emiya manipulates several swords to drop in a small area, <font color='#FF3399'>trapping</font>, <font color='#FF3399'>ministunning</font>, reducing their armor, and dealing damage to them.\n<font color='#58ACFA'>Projection: Gae Bolg:</font> Emiya leaps to the sky and hurl a projected version of Cu Chulainn's Gae Bolg, dealing damage in an area and <font color='#FF3399'>knocking</font> them upwards.\n<font color='#58ACFA'>Sword Barrage - Bombard:</font> Emiya manipulates numerous weapons on his will and strikes random areas inside Unlimited Blade Works with them, each dealing area damage while <font color='#FF3399'>ministunning</font> the enemies inside.\n<font color='#58ACFA'>Nine Lives Blade Works:</font> Emiya projects Heracles's weapon and mimics his ultimate technique, dashing to targeted area and striking all enemies in small radius 9 times, damaging and <font color='#FF3399'>stunning</font> them repetitively. The last strike has bigger radius, deals more damage and briefly <font color='#FF3399'>knocks</font> enemies back.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font>"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_Lore"				"An aria using a poem of the caster's life, used to activate high-thaumaturgy."
		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_Note1"				"On activation of completed Unlimited Blade Works, all nearby units are <font color='#FF3399'>paused</font> and <font color='#FF3399'>revoked</font> as they are transferred into Emiya's Reality Marble."
		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_Note2"				"In case UBW is overlapping with another Reality Marble, the battlefield takes place in the first Marble cast. When that Marble is broken, both Marbles cease to sustain."
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_form_delay"		"UBW DELAY:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_chrono_range"		"CHRONO RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_ubw_duration"	"UBW DURATION:"

		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_upgrade"					"<font color='#9FFFCC'>Unlimited Blade Works (Ready)</font>"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_Description"		"Chant the last line of the Unlimited Blade Works. Bring all nearby heroes and units into his inner world. Emiya gains a set of new abilities while existing abilities are enhanced.\n<font color='#FFB266'>Unlimited Blade Works - Auto Blade:</font> Swords passively fly toward and attacks enemies, dealing physical damage based on Emiya's <font color='#00F7FF'>INT</font>.\n<font color='#58ACFA'>Sword Barrage - Retreat:</font> Emiya immediately retreats backward and strikes area in a line with several swords, each dealing damage. The enemies that get hit by swords will be <font color='#FF3399'>rooted</font>.\n<font color='#58ACFA'>Sword Barrage - Confine:</font> Emiya manipulates several swords to drop in a small area, <font color='#FF3399'>trapping</font>, <font color='#FF3399'>ministunning</font>, reducing their armor and MR, and dealing damage to them.\n<font color='#58ACFA'>Projection: Gae Bolg:</font> Emiya leaps to the sky and hurl a projected version of Cu Chulainn's Gae Bolg, dealing damage in an area and <font color='#FF3399'>knocking</font> them upwards.\n<font color='#58ACFA'>Sword Barrage - Bombard:</font> Emiya manipulates numerous weapons on his will and strikes random areas inside Unlimited Blade Works with them, each dealing area damage while <font color='#FF3399'>ministunning</font> the enemies inside.\n<font color='#58ACFA'>Nine Lives Blade Works:</font> Emiya projects Heracles's weapon and mimics his ultimate technique, dashing to targeted area and striking all enemies in small radius 9 times, damaging and <font color='#FF3399'>stunning</font> them repetitively. The last strike has bigger radius, deals more damage and briefly <font color='#FF3399'>knocks</font> enemies back."
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_Lore"				"An aria using a poem of the caster's life, used to activate high-thaumaturgy."
		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_upgrade_Note1"				"On activation of completed Unlimited Blade Works, all nearby units are <font color='#FF3399'>paused</font> and <font color='#FF3399'>revoked</font> as they are transferred into Emiya's Reality Marble."
		"DOTA_Tooltip_Ability_archer_unlimited_bladeworks_upgrade_Note2"				"In case UBW is overlapping with another Reality Marble, the battlefield takes place in the first Marble cast. When that Marble is broken, both Marbles cease to sustain."
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_form_delay"		"UBW DELAY:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_chrono_range"		"CHRONO RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_ubw_duration"	"UBW DURATION:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_sword_interval"	"SWORD INTERVAL:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_sword_base_damage"	"SWORD BASE DAMAGE:"
		"DOTA_Tooltip_ability_archer_unlimited_bladeworks_upgrade_sword_int_ratio"	"BONUS SWORD DAMAGE PER INT:"

		"DOTA_Tooltip_Ability_archer_sword_barrage_retreat_shot"					"<font color='#58ACFA'>Sword Barrage - Retreat</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_Description"		"Emiya immediately retreats backward and strikes area in a line with several swords, each dealing damage.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font> \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_damage"			"DAMAGE PER SWORD:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_retreat_distance"	"RETREAT DISTANCE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_range"				"RANGE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_sword_count"		"TOTAL SWORDS:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_Lore"				""	

		"DOTA_Tooltip_Ability_archer_sword_barrage_retreat_shot_upgrade"					"<font color='#9FFFCC'>Sword Barrage - Retreat</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_Description"		"Emiya immediately retreats backward and strikes area in a line with several swords, each dealing damage. The enemies that get hit by swords will be <font color='#FF3399'>rooted</font> for a short duration. \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_damage"			"DAMAGE PER SWORD:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_retreat_distance"	"RETREAT DISTANCE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_range"				"RANGE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_sword_count"		"TOTAL SWORDS:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_root"			"ROOT DURATION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_root_cd"		"ROOT COOLDOWN:"
		"DOTA_Tooltip_ability_archer_sword_barrage_retreat_shot_upgrade_Lore"				""	

		"DOTA_Tooltip_Ability_archer_sword_barrage"							"<font color='#58ACFA'>Sword Barrage - Bombard</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_Description"				"Emiya manipulates numerous weapons on his will and strikes random areas inside Unlimited Blade Works with them, each dealing area damage while <font color='#FF3399'>ministunning</font> the enemies inside.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font> \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_damage"					"DAMAGE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_archer_sword_barrage_duration"				"DURATION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_Lore"					"The images of once adolescent and naive man materialize into the iron executioner of justice."	

		"DOTA_Tooltip_Ability_archer_sword_barrage_upgrade"							"<font color='#9FFFCC'>Sword Barrage - Bombard</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_Description"				"Emiya manipulates numerous weapons on his will and strikes random areas inside Unlimited Blade Works with them, each dealing area damage based on his <font color='#FF0000'>STR</font> and <font color='#00F7FF'>INT</font> while <font color='#FF3399'>ministunning</font> the enemies inside. \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_damage"					"DAMAGE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_bonus_agi"				"BONUS DAMAGE PER STR:"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_bonus_int"				"BONUS DAMAGE PER INT:"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_radius"					"RADIUS:"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_duration"				"DURATION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_upgrade_Lore"					"The images of once adolescent and naive man materialize into the iron executioner of justice."	

		"DOTA_Tooltip_Ability_archer_sword_barrage_confine"				"<font color='#58ACFA'>Sword Barrage - Confine</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_Description"	"Emiya manipulates several swords to drop in a small area, <font color='#FF3399'>trapping</font>, <font color='#FF3399'>locking</font>, <font color='#FF3399'>ministunning</font>, reducing their armor, and dealing damage to them.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font> \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_trap_duration"	"TRAP/LOCK DURATION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_delay"			"DELAY:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_armor_reduce"	"%ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_Lore"			""

		"DOTA_Tooltip_Ability_archer_sword_barrage_confine_upgrade"				"<font color='#9FFFCC'>Sword Barrage - Confine</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_Description"	"Emiya manipulates several swords to drop in a small area, <font color='#FF3399'>trapping</font>, <font color='#FF3399'>locking</font>, <font color='#FF3399'>ministunning</font>, reducing their armor and magic resist, and dealing damage to them. \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_damage"			"DAMAGE:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_trap_duration"	"TRAP/LOCK DURATION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_delay"			"DELAY:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_armor_reduce"	"%ARMOR REDUCTION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_mr_reduce"		"%MAGICAL RESISTANCE REDUCTION:"
		"DOTA_Tooltip_ability_archer_sword_barrage_confine_upgrade_Lore"			""				

		"DOTA_Tooltip_Ability_archer_gae_bolg"						"<font color='#58ACFA'>Projection: Gae Bolg</font>"
		"DOTA_Tooltip_ability_archer_gae_bolg_Description"			"Emiya leaps to the sky and hurl a projected version of Cu Chulainn's Gae Bolg, dealing damage in an area and <font color='#FF3399'>knocking</font> them upwards. While leaping, Emiya is <font color='#FFFF28'>invulnerable</font>.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font> \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_gae_bolg_Lore"					"Destruction over precision, Gae Bolg can be used as an anti-army weapon that leaves multitude of enemies in ruin."
		"DOTA_Tooltip_ability_archer_gae_bolg_delay"				"CAST DELAY:"
		"DOTA_Tooltip_ability_archer_gae_bolg_radius"				"RADIUS:"
		"DOTA_Tooltip_ability_archer_gae_bolg_range"				"RANGE:"
		"DOTA_Tooltip_ability_archer_gae_bolg_damage"				"DAMAGE:"

		"DOTA_Tooltip_Ability_archer_gae_bolg_upgrade"						"<font color='#9FFFCC'>Projection: Gae Bolg</font>"
		"DOTA_Tooltip_ability_archer_gae_bolg_upgrade_Description"			"Emiya leaps to the sky and hurl a projected version of Cu Chulainn's Gae Bolg, dealing damage in an area and <font color='#FF3399'>knocking</font> them upwards. While leaping, Emiya is <font color='#FFFF28'>invulnerable</font>. \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"
		"DOTA_Tooltip_ability_archer_gae_bolg_upgrade_Lore"					"Destruction over precision, Gae Bolg can be used as an anti-army weapon that leaves multitude of enemies in ruin."
		"DOTA_Tooltip_ability_archer_gae_bolg_upgrade_delay"				"CAST DELAY:"
		"DOTA_Tooltip_ability_archer_gae_bolg_upgrade_radius"				"RADIUS:"
		"DOTA_Tooltip_ability_archer_gae_bolg_upgrade_range"				"RANGE:"
		"DOTA_Tooltip_ability_archer_gae_bolg_upgrade_damage"				"DAMAGE:"

		"DOTA_Tooltip_Ability_archer_nine_lives"					"<font color='#58ACFA'>Nine Lives Blade Works</font>"
		"DOTA_Tooltip_ability_archer_nine_lives_Description"		"Emiya projects Heracles's weapon and mimics his ultimate technique, dashing to targeted area and striking all enemies in small radius %total_hit% times, damaging and <font color='#FF3399'>stunning</font> them repetitively. The last strike has bigger radius, deals more damage and briefly <font color='#FF3399'>knocks</font> enemies back.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Improve Projection</font> \n Emiya is <font color='#FF3399'>stunned</font> and <font color='#FF3399'>revoked</font> from Master until he finishes slashing. \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"	
		"DOTA_Tooltip_ability_archer_nine_lives_Lore"			"Projection realizes not just the weapon but its original owner's experience and strength."
		"DOTA_Tooltip_ability_archer_nine_lives_Note0"			"Emiya is <font color='#FF3399'>stunned</font> while performing slashes."
		"DOTA_Tooltip_ability_archer_nine_lives_total_hit"		"TOTAL HITS:"
		"DOTA_Tooltip_ability_archer_nine_lives_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_archer_nine_lives_damage"			"DAMAGE PER HIT:"
		"DOTA_Tooltip_ability_archer_nine_lives_radius_lasthit"	"LAST HIT RADIUS:"
		"DOTA_Tooltip_ability_archer_nine_lives_damage_lasthit"	"LAST HIT DAMAGE:"
		"DOTA_Tooltip_ability_archer_nine_lives_stun_duration"	"LAST HIT STUN:"

		"DOTA_Tooltip_Ability_archer_nine_lives_upgrade"					"<font color='#9FFFCC'>Nine Lives Blade Works</font>"
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_Description"		"Emiya projects Heracles's weapon and mimics his ultimate technique, dashing to targeted area and striking all enemies in small radius %total_hit% times, damaging and <font color='#FF3399'>stunning</font> them repetitively. The last strike has bigger radius, deals more damage and briefly <font color='#FF3399'>knocks</font> enemies back. \n Emiya is <font color='#FF3399'>stunned</font> and <font color='#FF3399'>revoked</font> from Master until he finishes slashing. \nThis ability share level with <font color='#58ACFA'>Unlimited Blade Works (Chant)</font>"	
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_Lore"			"Projection realizes not just the weapon but its original owner's experience and strength."
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_Note0"			"Emiya is <font color='#FF3399'>stunned</font> while performing slashes."
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_total_hit"		"TOTAL HITS:"
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_radius"			"RADIUS:"
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_damage"			"DAMAGE PER HIT:"
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_radius_lasthit"	"LAST HIT RADIUS:"
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_damage_lasthit"	"LAST HIT DAMAGE:"
		"DOTA_Tooltip_ability_archer_nine_lives_upgrade_stun_duration"	"LAST HIT STUN:"

		//////////////////// Special Ability //////////////////////

		"DOTA_Tooltip_Ability_archer_rho_aias"					"<font color='#FFB266'>Rho Aias</font>"
		"DOTA_Tooltip_ability_archer_rho_aias_Description"		"Target gains <font color='#FFFF28'>Rho Aias</font> for a short duration. \n<font color='#FFFF28'>Rho Aias</font>: Absorbing certain amount of damage. \n Target is <font color='#FF3399'>rooted</font> until shield is expired. \nThe target can cancel the shield early by right clicking it on buff bar."
