		

		//=================================================================================================================
		//	Rider(5th)
		//=================================================================================================================
		"npc_dota_hero_templar_assassin"		"Medusa"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_duration"	"DURATION:"

		"DOTA_Tooltip_Ability_medusa_bloodfort_andromeda_upgrade"		"<font color='#9FFFCC'>Bloodfort Andromeda</font>"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_Description"	"Medusa creates a zone of blood that <font color='#FF3399'>slows</font> movement speed of enemies inside and sucks away life force while <font color='#FF3399'>charming</font> and forcing them to move towards the singularity every %seal_interval% second."
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_Lore"	"Disintegrate and Drain."
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_delay"	"CAST DELAY:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_aspd_slow"	"ATTACK SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_ms_slow"	"%MOVEMENT SPEED SLOW:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_damage"	"DAMAGE PER SECOND:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_absorb"	"ABSORBED HP PER UNIT:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_mp_absorb"	"ABSORBED MANA PER UNIT:"
		"DOTA_Tooltip_ability_medusa_bloodfort_andromeda_upgrade_duration"	"DURATION:"
		
		"DOTA_Tooltip_Ability_medusa_bellerophon"				"<font color='#58ACFA'>Bellerophon</font>"	
		"DOTA_Tooltip_ability_medusa_bellerophon_Description"	"Medusa ascends into sky, becoming <font color='#FFFF28'>untargetable</font> and <font color='#FFFF28'>invulnerable</font>, and then slams down to the target location. Enemies struck are dealt damage and <font color='#FF3399'>stunned</font>.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Riding</font>."
		"DOTA_Tooltip_ability_medusa_bellerophon_Lore"	"The unstoppable charge of flying Holy Beast engulfs enemy in blinding light like a white comet."
		"DOTA_Tooltip_ability_medusa_bellerophon_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_delay"	"DELAY:"
		"DOTA_Tooltip_ability_medusa_bellerophon_range"	"RANGE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_bellerophon_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_medusa_bellerophon_Note0"	"There is up to 0.5 second of delay between the landing and actual impact, based on how far Medusa traveled."

		"DOTA_Tooltip_Ability_medusa_bellerophon_upgrade"				"<font color='#9FFFCC'>Bellerophon</font>"	
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_Description"	"Medusa ascends into sky, becoming <font color='#FFFF28'>untargetable</font> and <font color='#FFFF28'>invulnerable</font>, and then slams down to the target location. Enemies struck are dealt damage based on Medusa's <font color='#80FF00'>AGI</font> and <font color='#FF3399'>stunned</font>."
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_Lore"	"The unstoppable charge of flying Holy Beast engulfs enemy in blinding light like a white comet."
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_bonus_agi"	"DAMAGE PER AGI:"
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_delay"	"DELAY:"
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_range"	"RANGE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_radius"	"RADIUS:"
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_stun_duration"	"STUN DURATION:"
		"DOTA_Tooltip_ability_medusa_bellerophon_upgrade_Note0"	"There is up to 0.5 second of delay between the landing and actual impact, based on how far Medusa traveled."

		//////////////////////// Special Ability ////////////////////

		"DOTA_Tooltip_Ability_medusa_monstrous_strength_passive"				"<font color='#FFB266'>Monstrous Strength</font>"
		"DOTA_Tooltip_ability_medusa_monstrous_strength_passive_Description"	"Give Medusa %proc_chance%% chance on attack to deal additional %proc_damage% damage. If the target is affected by Breaker Gorgon's <font color='#FF3399'>stone</font>, deal %proc_damage_2% damage instead."	

		///////////////////////// Combo /////////////////////////

		"DOTA_Tooltip_Ability_medusa_bellerophon_2"				"<font color='#FF04EF'>Combo: Bellerophon II</font>"	
		"DOTA_Tooltip_ability_medusa_bellerophon_2_Description"	"<font color='#FF04EF'>Combo Requirement : 25 all stats</font>\n<font color='#FF04EF'>Combo Sequence : Q - W -> E in 7 seconds</font>\nMedusa dashes forward at the speed of sound, delivering destructive damage and <font color='#FF3399'>stunned</font> to all enemies in the path.\n\n<font color='#9FFFCC'>Upgradable with Attribute: Riding</font>."
		"DOTA_Tooltip_ability_medusa_bellerophon_2_Note0"	"Cannot be reset."
		"DOTA_Tooltip_ability_medusa_bellerophon_2_Lore"	""
		"DOTA_Tooltip_ability_medusa_bellerophon_2_cast_delay"	"CAST DELAY:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_range"	"DISTANCE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_width"	"WIDTH:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_stun"	"STUN DURATION:"

		"DOTA_Tooltip_Ability_medusa_bellerophon_2_upgrade"				"<font color='#FF04EF'>Combo: Bellerophon II</font>"	
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_Description"	"<font color='#FF04EF'>Combo Requirement : 25 all stats</font>\n<font color='#FF04EF'>Combo Sequence : Q - W -> E in 7 seconds</font>\nMedusa dashes forward at the speed of sound, delivering destructive damage plus bonus damage base on Medusa's <font color='#80FF00'>AGI</font> and <font color='#FF3399'>stunned</font> to all enemies in the path."
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_Note0"	"Cannot be reset."
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_Lore"	""
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_cast_delay"	"CAST DELAY:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_range"	"DISTANCE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_width"	"WIDTH:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_damage"	"DAMAGE:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_stun"	"STUN DURATION:"
		"DOTA_Tooltip_ability_medusa_bellerophon_2_upgrade_agi_ratio"	"BONUS DAMAGE PER AGI:"

		////////////////////// Buff ////////////////////////

		"DOTA_Tooltip_modifier_monstrous_strength_passive"                                "Monstrous Strength Passive"
		"DOTA_Tooltip_modifier_monstrous_strength_passive_Description"                    "+%dMODIFIER_PROPERTY_STATS_STRENGTH_BONUS% STR, +%dMODIFIER_PROPERTY_MAGICAL_RESISTANCE_BONUS% MR, has %dMODIFIER_PROPERTY_TOOLTIP2%%% chance to deal %dMODIFIER_PROPERTY_TOOLTIP% damage."

		"DOTA_Tooltip_modifier_medusa_riding_passive"                                "Riding Passive"
		"DOTA_Tooltip_modifier_medusa_riding_passive_Description"                    "Absolute %dMODIFIER_PROPERTY_MOVESPEED_ABSOLUTE% Move Speed."

		////////////////////// Debuff ////////////////////////

		"DOTA_Tooltip_modifier_mystic_eye_enemy"                                      "Mystic Eye"
		"DOTA_Tooltip_modifier_mystic_eye_enemy_Description"                          "Decreased %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% MS"

		"DOTA_Tooltip_modifier_mystic_eye_enemy_upgrade"                              "Mystic Eye"
		"DOTA_Tooltip_modifier_mystic_eye_enemy_upgrade_Description"                  "Decreased %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% MS, %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%% ASPD."

		"DOTA_Tooltip_modifier_breaker_gorgon"                               "Breaker Gorgon"
		"DOTA_Tooltip_modifier_breaker_gorgon_Description"                   "Decreased %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%% ASPD, %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% MS."

		"DOTA_Tooltip_modifier_breaker_gorgon_upgrade"                               "Breaker Gorgon"
		"DOTA_Tooltip_modifier_breaker_gorgon_upgrade_Description"                   "Decreased %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%% ASPD, %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% MS, %dMODIFIER_PROPERTY_TURN_RATE_PERCENTAGE% Turn Rate."

		"DOTA_Tooltip_modifier_breaker_gorgon_stone"                         "Breaker Gorgon Stone"
		"DOTA_Tooltip_modifier_breaker_gorgon_stone_Description"             ""

		"DOTA_Tooltip_modifier_bloodfort_slow"                               "Bloodfort Slow"
		"DOTA_Tooltip_modifier_bloodfort_slow_Description"                   "Decreased %dMODIFIER_PROPERTY_ATTACKSPEED_BONUS_CONSTANT%%% ASPD, %dMODIFIER_PROPERTY_MOVESPEED_BONUS_PERCENTAGE%%% MS."

		"DOTA_Tooltip_modifier_bloodfort_seal"                                            "Bloodfort Seal"
		"DOTA_Tooltip_modifier_bloodfort_seal_Description"                                ""

		////////////////////// Cooldown //////////////////////

		"DOTA_Tooltip_modifier_bellerophon_2_cooldown"                                    "Bellerophon 2 Cooldown"
		"DOTA_Tooltip_modifier_bellerophon_2_cooldown_Description"                        ""

		//////////////////////// Special Attribute ////////////////

		"DOTA_Tooltip_Ability_medusa_attribute_improve_mystic_eyes"				"<font color='#9FFFCC'>Attribute: Improve Mystic Eyes</font>"
		"DOTA_Tooltip_ability_medusa_attribute_improve_mystic_eyes_Description"	"Increases <font color='#FFFFFF'>Mystic Eye</font>'s passive slow amount and causes it to <font color='#FF3399'>slow</font> attack speed"	
		"DOTA_Tooltip_ability_medusa_attribute_improve_mystic_eyes_ms_slow"	"%MOVEMENT SPEED SLOW:"	
		"DOTA_Tooltip_ability_medusa_attribute_improve_mystic_eyes_as_slow"	"ATTACK SPEED SLOW:"

		"DOTA_Tooltip_Ability_medusa_attribute_riding"				"<font color='#9FFFCC'>Attribute: Riding</font>"
		"DOTA_Tooltip_ability_medusa_attribute_riding_Description"	"Increases <font color='#58ACFA'>Bellerophon</font>'s damage by %bonus_belle_damage% plus %belle_damage% per <font color='#80FF00'>AGI</font>.\nIncreases <font color='#FF04EF'>Bellerophon 2</font>'s by %bonus_belle2_damage% plus %belle_2_damage% per <font color='#80FF00'>AGI</font>.\nMedusa has an absolute movemnet speed that cannot be slowed down."
		"DOTA_Tooltip_ability_medusa_attribute_riding_bonus_ms"		"ABSOLUTE MOVEMENT SPEED:"

		"DOTA_Tooltip_Ability_medusa_attribute_seal"				"<font color='#9FFFCC'>Attribute: Seal</font>"
		"DOTA_Tooltip_ability_medusa_attribute_seal_Description"	"Causes <font color='#58ACFA'>Breaker Gorgon</font> to increase <font color='#FF3399'>slow</font> rate and turn rate of affected enemies. Enemies that affect with Breaker Gorgon have %stone_rate%%% chance to turning into the <font color='#FF3399'>stone</font> for %stone% seconds.\nIn addition, <font color='#58ACFA'>Bloodfort Andromeda</font> <font color='#FF3399'>charms</font> enemies caught within, forcing them to move towards the singularity."
		"DOTA_Tooltip_Ability_medusa_attribute_seal_turn_rate"				"%TURN RATE INCREASE:"
		"DOTA_Tooltip_Ability_medusa_attribute_seal_slow_multiply"			"%ASPD AND MS SLOW:"

		"DOTA_Tooltip_Ability_medusa_attribute_monstrous_strength"				"<font color='#9FFFCC'>Attribute: Monstrous Strength</font>"
		"DOTA_Tooltip_ability_medusa_attribute_monstrous_strength_Description"	"Enable <font color='#FFB266'>Monstrous Strength</font> \n<font color='#FFB266'>Monstrous Strength</font>: Give Medusa %proc_chance%%% chance on attack to deal additional %proc_damage% damage. If the target is affected by Breaker Gorgon's <font color='#FF3399'>stone</font>, deal %proc_damage_2% damage instead.\nIncrease Medusa's <font color='#FF0000'>STR</font> and Magical Resistance"	
		"DOTA_Tooltip_Ability_medusa_attribute_monstrous_strength_bonus_str"				"BONUS STR:"	
		"DOTA_Tooltip_Ability_medusa_attribute_monstrous_strength_bonus_mr"				"BONUS MAGICAL RESISTANCE:"			

		//////////////////////////// unused /////////////////////

		"DOTA_Tooltip_rider_5th_mystic_eye_aura"                "Rider 5th Mystic Eye Aura"
		"DOTA_Tooltip_rider_5th_mystic_eye_aura_Description"                              ""

		"DOTA_Tooltip_modifier_monstrous_strengh_damage_bonus"				"Monstrous Strength"
		"DOTA_Tooltip_modifier_monstrous_strengh_damage_bonus_Description"	""

		"DOTA_Tooltip_modifier_breaker_gorgon_turnrate"                "Breaker Gorgon Turnrate"
		"DOTA_Tooltip_modifier_breaker_gorgon_turnrate_Description"      ""
